T521D107M020ATE055|KEMET Corporation|60|1|$3.6500|10|$2.9160|100|$2.2909|500|$1.4578|
T591D226M025ATE060|KEMET Corporation|60|1|$2.5000|10|$1.9910|100|$1.5647|500|$1.0099|
BAT54WS-E3-08|Vishay Intertechnologies|17|10|$0.0870|50|$0.0788|250|$0.0697|1000|$0.0626|3000|$0.0584|
BPW85A|Vishay Intertechnologies|838|2|$0.3150|10|$0.2600|50|$0.2382|250|$0.2086|1000|$0.1952|
BYV28-200-TAP|Vishay Intertechnologies|1788|3|$0.8100|10|$0.7500|50|$0.6900|250|$0.5800|1000|$0.5300|
SMBJ18CA|Littelfuse Inc|3320|3|$0.2154|10|$0.1931|100|$0.1639|1000|$0.1288|
SMBJ18CA-TR|STMicroelectronics|1336|5|$0.1642|25|$0.1339|100|$0.1000|250|$0.0815|1000|$0.0759|
P6SMBJ18CA|Diotec Semiconductor AG|4851|5|$0.1669|25|$0.1519|100|$0.1264|500|$0.1086|3000|$0.0944|
24LC1025-I/SM|Microchip Technology Inc|129|1|$3.5100|10|$3.4500|25|$3.4000|90|$3.2900|
350783-1|TE Connectivity Ltd|900|2|$0.5900|10|$0.5200|100|$0.4100|500|$0.3600|
5-1393788-7|TE Connectivity Ltd|395|1|$1.9700|5|$1.8500|50|$1.7300|100|$1.6200|500|$1.5000|
5-1419102-4|TE Connectivity Ltd|27|1|$4.2100|5|$3.8400|25|$3.4200|100|$3.0000|500|$2.8400|
1462000-1|TE Connectivity Ltd|34|1|$2.7400|5|$2.5100|25|$2.2400|100|$2.0400|
3-1462000-1|TE Connectivity Ltd|171|1|$2.3900
5-1462000-1|TE Connectivity Ltd|3|1|$3.6300|5|$3.2700|25|$2.8800|100|$2.6100|500|$2.4100|
GF1M-E3/67A|Vishay Intertechnologies|490|10|$0.1610|50|$0.1534|250|$0.1386|1000|$0.1173|3000|$0.1097|
AL5809-90P1-7|Diodes Incorporated|1041|3|$0.4241|25|$0.3863|100|$0.3090|250|$0.2716|1000|$0.2435|
