PQME3-D24-S3-M|CUI INC|52|26|$17.2200|52|$15.8900
PBM30-S3MC-B-P1|SUNS INTERNATIONAL|8|3000|$0.1733|48000|$0.1600
L4978|STMicroelectronics|316|50|$4.0800|316|$3.7700
L4978D013TR|STMicroelectronics|400|54|$3.1200|400|$2.8800
MAX4641EUA+T|Maxim Integrated Products|2500|2500|$2.0700
SMBJ7.5CA-E3/52|Vishay Semiconductors|93750|750|$0.3333|93750|$0.3077
SMBJ7.5CA-TP|MICRO COMMERCIAL COMPONENTS|6000|3000|$0.1523|6000|$0.1406
SMBJ75CA-13-F|Diodes Incorporated|42000|3000|$0.1542|42000|$0.1423
SMBJ7.5CA|Littelfuse Inc|87000|3000|$0.2583|87000|$0.2385
SMCJ28A|Fairchild Semiconductor Corporation|3000|3000|$0.2783
SMCJ28A-13-F|Diodes Incorporated|54000|3000|$0.2900|54000|$0.2677
SMCJ28A-TP|MICRO COMMERCIAL COMPONENTS|6000|3000|$0.3017|6000|$0.2785
SMCJ28A-E3/57T|Vishay Semiconductors|10200|850|$0.2733|10200|$0.2523
NSR20F40NXT5G|ON SEMICONDUCTOR|15000|5000|$0.2500|15000|$0.2308
TSOP75238TR|Vishay Semiconductors|4600|2300|$1.0700|4600|$0.9846
TZMC15-GS08|Vishay Semiconductors|202500|5000|$0.0480|202500|$0.0443
SMBJ6.0A-E3/52|Vishay Semiconductors|145500|750|$0.2433|145500|$0.2246
TFDU4301-TT3|Vishay Semiconductors|5000|2500|$6.0000|5000|$5.5400
TLMG1100-GS08|Vishay Semiconductors|375000|3000|$0.1683|375000|$0.1554
TSOP6238TT|Vishay Semiconductors|11900|1190|$0.9833|11900|$0.9077
TZMC13-GS08|Vishay Semiconductors|7500|10000|$0.0168
TZMC5V1-GS18|Vishay Semiconductors|90000|20000|$0.0166|90000|$0.0153
UF4004-E3/54|Vishay Semiconductors|104500|5500|$0.2483|104500|$0.2292
HCPL0637|Fairchild Semiconductor Corporation|560|62|$2.7200|560|$2.5100
HCPL2601|Fairchild Semiconductor Corporation|5911|150|$1.6200|5911|$1.4900
HCPL2630|Fairchild Semiconductor Corporation|41532|100|$2.0000|41532|$1.8500
HCPL2630SD|Fairchild Semiconductor Corporation|1000|1000|$1.7200
IHLP6767GZER4R7M11|Vishay Dale|1400|200|$3.4200
ILD206T|Vishay Semiconductors|78000|2000|$0.6417|78000|$0.5923
HLMP-1719|CML Innovative Technologies|45|4000|$0.0556
HLMP-1719QT|Hewlett Packard Co|30|1250|$0.1600|24186|$0.1477
S2EB-24V|Panasonic Electronic Components|334|50|$26.8000|334|$24.7400
ST1-DC5V-F|Panasonic Electronic Components|12|10|$17.3800|12|$16.0500
TQ2-6V|Panasonic Electronic Components|300|100|$2.7800|300|$2.5700
MPC855TVR50D4|NXP Semiconductors|44|44|$56.5500
AB0805-T3|Abracon Corporation|6000|3000|$1.2300|6000|$1.1400
ASDK2-32.768KHZ-LRT|Abracon Corporation|24000|1000|$3.1000|24000|$2.8600
EEU-FC1A332S|Panasonic Electronic Components|200|200|$0.8500
SMCJ33CA-13-F|Diodes Incorporated|72000|3000|$0.3317|72000|$0.3062
MXSMCJ33CA|Microsemi Corporation|40|7|$23.9500|40|$22.1100
MAX3430ESA+|Maxim Integrated Products|300|100|$8.2500|300|$7.6200
ERA-2AEB131X|Panasonic Electronic Components|5000|5000|$0.0923
ERA-3AEB104V|Panasonic Electronic Components|315000|5000|$0.0667|315000|$0.0615
VESD01-02V-G-08|Vishay Semiconductors|3000|3000|$0.1530
VESD08-02V-G-08|Vishay Semiconductors|6000|3000|$0.1185|6000|$0.1094
5-102203-5|TE Connectivity Ltd|1473|69|$3.5500|1473|$3.2800
MMBTH10LT1G|ON SEMICONDUCTOR|18000|6000|$0.0345|18000|$0.0318
UMT1NTN|ROHM SEMICONDUCTOR|135000|3000|$0.0802|135000|$0.0740
ETQ-P3M2R2YFP|Panasonic Electronic Components|4000|2000|$0.8667|4000|$0.8000
CRCW080575K0FKEA|Vishay BCcomponents|10000|5000|$0.0833|10000|$0.0769
PCA9617ADPJ|NXP Semiconductors|17500|2500|$0.7083|17500|$0.6538
PCA9617ATPZ|NXP Semiconductors|8000|4000|$0.9667|8000|$0.8923
LBEE5KL1DX-883|Murata Manufacturing Co Ltd|1531|1000|$21.2800|3618|$19.6500
SMCJ36A|Fairchild Semiconductor Corporation|6000|3000|$0.2817|6000|$0.2600
SMCJ36A|General Instrument|800|850|$0.5250|1700|$0.4846
PCA9515DP,118|NXP Semiconductors|10000|2500|$0.9667|10000|$0.8923
ERJ-3EKF6801V|Panasonic Electronic Components|205000|5000|$0.1333|205000|$0.1231
BZT52H-C75,115|Nexperia|330000|9000|$0.0230
1658525-4|TE Connectivity Ltd|810|90|$2.4000|810|$2.2200
ABLS-20.000MHZ-B2-T|Abracon Corporation|76000|1000|$0.4250|76000|$0.3923
ABLS2-16.000MHZ-D4Y-T|Abracon Corporation|19792|1000|$0.7000|19792|$0.6462
499252-2|TE Connectivity Ltd|15885|1000|$0.2333|15885|$0.2154
HLMP1503|Everlight Electronics Co Ltd|10336|2000|$0.1537|10336|$0.1418
HLMP1540|Everlight Electronics Co Ltd|23332|2000|$0.0995|23332|$0.0918
TR3B156K016C0800|Vishay Sprague|4000|2000|$0.7667|4000|$0.7077
ASFL1-50.000MHZ-EC-T|Abracon Corporation|2000|1000|$1.0700|2000|$0.9846
2-520181-2|TE Connectivity Ltd|671|2700|$0.1700|256500|$0.1569
BTS432E2E3062ABUMA1|Infineon Technologies AG|2000|1000|$3.5500|2000|$3.2800
DEMODISTANCE2GOTOBO1|Infineon Technologies AG|4|1|$625.0000|4|$576.9200
M39014/02-1415V|AVX Corporation|844|1|$1.5200|500|$1.3900
281695-4|TE Connectivity Ltd|500|500|$0.4583
61082-041402LF|AMPHENOL FCI|1600|800|$13.7200|1600|$12.6600
FIN3386MTDX|Fairchild Semiconductor Corporation|3000|1000|$3.3800|3000|$3.1200
BAT54S|ON SEMICONDUCTOR|153000|3000|$0.1003|69000|$0.0926
BAT54SCT|Zetex / Diodes Inc|237|10000|$0.0463
BAT54SFILM|STMicroelectronics|1308000|3000|$0.1733
BAT54ST-7-F|Diodes Incorporated|69000|6000|$0.0552|1536000|$0.0509
BAT54SQ-13|Diodes Incorporated|10000|10000|$0.0348|30000|$0.0322
SBAT54SLT1G|ON SEMICONDUCTOR|3000|3000|$0.1430|261000|$0.1320
BAT54S,215|Nexperia|1536000|1429|$0.1167|2080|$0.1077
BAT54S,235|Nexperia|30000|6000|$0.0433|261000|$0.0400
BAT54SDW-7-F|Diodes Incorporated|261000|6000|$0.0500|1875000|$0.0462
BAT54SFILMY|STMicroelectronics|2080|6000|$0.0358|27000|$0.0331
BAT54SLT1G|ON SEMICONDUCTOR|261000|6000|$0.0555|1350000|$0.0512
MAX31820MCR+|Maxim Integrated Products|780|70|$2.5800|780|$2.3800
NUD3105DMT1G|ON SEMICONDUCTOR|82233|3000|$0.4333|82233|$0.4000
NUD4700SNT1G|ON SEMICONDUCTOR|189000|3000|$0.3000|189000|$0.2769
LMV981TLX/NOPB|Texas Instruments|3000|3000|$2.5800
BZX384-C3V6,115|Nexperia|12000|3000|$0.7140
EEE-FK1E332AM|Panasonic Electronic Components|250|125|$2.0300|250|$1.8800
BC850CW,115|Nexperia|210000|9000|$0.0273|210000|$0.0252
LP2996MRX/NOPB|Texas Instruments|5000|2500|$2.5700|5000|$2.3700
TLE72593GEXUMA1|Infineon Technologies AG|5000|2500|$0.6583|5000|$0.6077
HF115FD/024-1Z3AF(257)|Xiamen Hongfa Electroacoustic Co.,Ltd.|38|1|$166.6700|38|$153.8500
TR-3216FF30-R|Eaton Bussmann|6000|3000|$1.1900|6000|$1.1000
L1SP-FRD0002000000|LUMILEDS|12548|1000|$2.5700|12548|$2.3700
UCD1V470MCL1GS|Nichicon Corporation|25000|1000|$0.1767|25000|$0.1631
ERA-3AEB3241V|Panasonic Electronic Components|20000|5000|$0.0663|20000|$0.0612
NMC1206X7R105K50TRPLPF|NIC COMPONENTS CORP|300000|2000|$0.4250|300000|$0.3923
ERZ-V05D390|Panasonic Electronic Components|1000|1000|$0.1900
EEU-FC1J221SB|Panasonic Electronic Components|1000|500|$0.5417|1000|$0.5000
EEU-FC1J681B|Panasonic Electronic Components|3750|250|$0.8000
EEU-FC1J681|Panasonic Electronic Components|11540|200|$0.9750|11540|$0.9000
LP2966IMM-1833/NOPB|Texas Instruments|2000|1000|$1.1800
LP2981AIM5-3.3/NOPB|Texas Instruments|1000|1000|$1.8000
FQD9N25TM|Fairchild Semiconductor Corporation|5000|2500|$0.5083|5000|$0.4692
FQP13N10|Fairchild Semiconductor Corporation|4120|1000|$0.5250|4120|$0.4846
926883-1|TE Connectivity Ltd|155000|5000|$0.0462|155000|$0.0426
USB5537B-5000AKZE|Microchip Technology Inc|336|168|$8.7700|336|$8.0900
L6225PD|STMicroelectronics|248|31|$6.4700|248|$5.9700
L6225PDTR|STMicroelectronics|3600|600|$5.3800|3600|$4.9700
2-320561-2|TE Connectivity Ltd|10000|5000|$0.2083|10000|$0.1923
31890|TE Connectivity Ltd|17774|633|$0.2633|17774|$0.2431
MF40202V2-1000U-A99|SUNON|28|16|$10.8800|28|$10.0500
L7805ABP|STMicroelectronics|6647|250|$0.7667|6647|$0.7077
ABLS-8.000MHZ-K4T|Abracon Corporation|28000|1000|$0.5583|28000|$0.5154
MCP23S18-E/SO|Microchip Technology Inc|136|81|$2.7000|136|$2.4900
20021111-00010T4LF|AMPHENOL FCI|1357|290|$0.5750|1357|$0.5308
TR-3216FF3-R|Eaton Bussmann|24000|3000|$0.6000|24000|$0.5538
ABLS-7.3728MHZ-B4-T|Abracon Corporation|2000|1000|$0.2933|2000|$0.2708
10TPB47M|Panasonic Electronic Components|26000|2000|$0.4833|26000|$0.4462
HSP061-8M16|STMicroelectronics|6000|3000|$0.8417|6000|$0.7769
ERJ-3EKF4023V|Panasonic Electronic Components|100|5000|$0.0833
ERJ-3EKF4320V|Panasonic Electronic Components|90000|5000|$0.0833|90000|$0.0769
HSMN-A100-P00J1|AVAGO TECHNOLOGIES|6000|2000|$0.5600
1445049-2|TE Connectivity Ltd|56142|705|$0.2367|56142|$0.2185
STM706RM6F|STMicroelectronics|9420|2500|$1.5000|9420|$1.3800
MAX4372TEUK+T|Maxim Integrated Products|2500|2500|$1.9300
MAX4376FAUK+T|Maxim Integrated Products|5000|2500|$1.9300|5000|$1.7800
DS1629S+T&R|Maxim Integrated Products|5000|2500|$6.5300|5000|$6.0300
ERJ-2GEJ152X|Panasonic Electronic Components|140000|10000|$0.0833|140000|$0.0769
EEU-FC1H561S|Panasonic Electronic Components|4100|300|$0.8400
EEE-FK1H330P|Panasonic Electronic Components|2000|1000|$0.2400|2000|$0.2215
